City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches(last 3hrs),Snow inches(last 3hrs)
0,Meulaboh,ID,2020-01-05 20:43:48,4.14,96.13,80.4,81,0,6.78,clear sky,0,0
1,Fallon,US,2020-01-05 20:43:48,46.84,-105.12,39.2,48,1,10.29,clear sky,0,0
2,Mareeba,AU,2020-01-05 20:43:48,-16.99,145.42,75.2,88,75,6.93,light intensity shower rain,0,0
3,Rikitea,PF,2020-01-05 20:41:56,-23.12,-134.97,76.03,78,67,15.41,broken clouds,0,0
4,Hermanus,ZA,2020-01-05 20:43:18,-34.42,19.24,64.0,89,100,11.03,overcast clouds,0,0
5,Vaini,IN,2020-01-05 20:43:48,15.34,74.49,66.11,79,0,6.89,clear sky,0,0
6,Brigantine,US,2020-01-05 20:43:49,39.41,-74.36,43.0,41,75,21.92,broken clouds,0,0
7,Yerbogachen,RU,2020-01-05 20:43:49,61.28,108.01,5.65,92,100,10.6,overcast clouds,0,0
8,Thompson,CA,2020-01-05 20:42:05,55.74,-97.86,5.0,92,90,6.93,light snow,0,0
9,Busselton,AU,2020-01-05 20:42:01,-33.64,115.35,57.99,43,0,9.35,clear sky,0,0
10,Atuona,PF,2020-01-05 20:43:49,-9.8,-139.03,80.56,67,0,4.74,clear sky,0,0
11,Bambous Virieux,MU,2020-01-05 20:43:49,-20.34,57.76,73.4,100,75,9.17,heavy intensity rain,0,0
12,Butaritari,KI,2020-01-05 20:43:49,3.07,172.79,85.28,76,100,15.26,moderate rain,0,0
13,Saskylakh,RU,2020-01-05 20:43:49,71.97,114.09,-19.21,94,0,13.09,clear sky,0,0
14,Naifaru,MV,2020-01-05 20:43:50,5.44,73.37,82.22,79,6,12.59,clear sky,0,0
15,Ushuaia,AR,2020-01-05 20:43:00,-54.81,-68.31,50.0,76,75,27.51,shower rain,0,0
16,Bathsheba,BB,2020-01-05 20:43:50,13.22,-59.52,80.6,74,40,10.29,shower rain,0,0
17,Cesme,TR,2020-01-05 20:43:50,38.32,26.31,51.8,62,75,13.87,broken clouds,0,0
18,New Norfolk,AU,2020-01-05 20:43:50,-42.78,147.06,59.0,76,20,9.17,few clouds,0,0
19,Sinnar,IN,2020-01-05 20:43:50,19.85,74.0,59.22,52,0,5.14,clear sky,0,0
20,Ribeira Grande,PT,2020-01-05 20:41:59,38.52,-28.7,64.4,88,40,13.87,scattered clouds,0,0
21,Cherskiy,RU,2020-01-05 20:41:09,68.75,161.3,-7.71,61,5,5.35,clear sky,0,0
22,Hobyo,SO,2020-01-05 20:43:50,5.35,48.53,78.58,79,34,12.19,scattered clouds,0,0
23,Cabo San Lucas,MX,2020-01-05 20:41:52,22.89,-109.91,81.0,42,75,3.36,broken clouds,0,0
24,Port Alfred,ZA,2020-01-05 20:43:51,-33.59,26.89,66.99,91,50,7.05,scattered clouds,0,0
25,Kapaa,US,2020-01-05 20:39:38,22.08,-159.32,78.8,74,40,17.22,scattered clouds,0,0
26,Stockerau,AT,2020-01-05 20:43:51,48.38,16.21,34.0,82,0,8.05,clear sky,0,0
27,Yellowknife,CA,2020-01-05 20:43:51,62.45,-114.38,-13.0,75,20,5.82,few clouds,0,0
28,Jamestown,AU,2020-01-05 20:43:51,-33.21,138.6,56.25,87,89,5.93,light rain,0,0
29,Cape Town,ZA,2020-01-05 20:41:25,-33.93,18.42,68.0,82,75,9.17,broken clouds,0,0
30,Sarh,TD,2020-01-05 20:43:51,9.14,18.39,71.6,49,0,3.31,clear sky,0,0
31,Provideniya,RU,2020-01-05 20:43:51,64.42,-173.23,-10.43,82,100,9.08,overcast clouds,0,0
32,Huarmey,PE,2020-01-05 20:43:51,-10.07,-78.15,78.49,57,82,7.34,broken clouds,0,0
33,Mahon,IE,2020-01-05 20:43:52,51.89,-8.4,46.99,87,75,20.8,broken clouds,0,0
34,Bonfim,GY,2020-01-05 20:43:52,3.36,-59.84,96.06,28,0,8.77,clear sky,0,0
35,Mataura,NZ,2020-01-05 20:43:52,-46.19,168.86,51.01,81,87,24.0,light rain,0,0
36,Padre Paraiso,BR,2020-01-05 20:43:52,-17.07,-41.48,69.94,90,69,6.62,light rain,0,0
37,Hami,CN,2020-01-05 20:43:52,42.84,93.51,18.34,48,73,4.38,broken clouds,0,0
38,Saravan,AM,2020-01-05 20:43:52,39.72,45.65,24.8,85,0,4.7,clear sky,0,0
39,Leningradskiy,RU,2020-01-05 20:43:52,69.38,178.42,-11.0,51,0,1.83,clear sky,0,0
40,Coihaique,CL,2020-01-05 20:43:52,-45.58,-72.07,59.0,54,75,8.05,broken clouds,0,0
41,Bredasdorp,ZA,2020-01-05 20:42:55,-34.53,20.04,68.0,64,100,5.82,overcast clouds,0,0
42,Ponta Do Sol,BR,2020-01-05 20:43:53,-20.63,-46.0,75.29,84,20,4.41,light rain,0,0
43,Nouadhibou,MR,2020-01-05 20:43:53,20.93,-17.03,64.4,48,33,9.17,scattered clouds,0,0
44,Cidreira,BR,2020-01-05 20:43:53,-30.17,-50.22,74.61,82,0,19.3,clear sky,0,0
45,Deputatskiy,RU,2020-01-05 20:43:53,69.3,139.9,-17.63,82,34,0.54,scattered clouds,0,0
46,Fortuna,US,2020-01-05 20:43:53,40.6,-124.16,55.99,87,90,4.56,light rain,0,0
47,Villamontes,BO,2020-01-05 20:43:53,-21.26,-63.47,99.36,21,6,8.03,clear sky,0,0
48,Hamilton,CA,2020-01-05 20:43:53,43.26,-79.87,37.0,80,75,11.41,broken clouds,0,0
49,Kaitangata,NZ,2020-01-05 20:41:03,-46.28,169.85,48.99,73,80,23.0,light rain,0,0
50,Nikolskoye,RU,2020-01-05 20:43:53,59.7,30.79,24.01,79,81,2.24,broken clouds,0,0
51,Mayor Pablo Lagerenza,PY,2020-01-05 20:43:54,-19.93,-60.77,100.11,27,74,11.05,broken clouds,0,0
52,Punta Arenas,CL,2020-01-05 20:40:57,-53.16,-70.91,55.4,54,40,29.97,scattered clouds,0,0
53,Sola,TZ,2020-01-05 20:43:54,-3.17,33.8,66.42,84,89,4.52,overcast clouds,0,0
54,Mahajanga,MG,2020-01-05 20:43:54,-15.72,46.32,78.8,88,20,4.7,few clouds,0,0
55,Chokurdakh,RU,2020-01-05 20:43:54,70.62,147.9,-21.48,99,84,3.83,broken clouds,0,0
56,Katsuura,JP,2020-01-05 20:43:54,33.93,134.5,37.4,73,40,5.82,scattered clouds,0,0
57,Maumere,ID,2020-01-05 20:43:54,-8.63,122.22,78.04,89,100,12.39,light rain,0,0
58,Panaba,MX,2020-01-05 20:43:54,21.28,-88.27,73.53,63,91,8.88,overcast clouds,0,0
59,Kiama,AU,2020-01-05 20:38:54,-34.67,150.86,69.01,100,100,4.7,light rain,0,0
60,Vestmanna,FO,2020-01-05 20:43:54,62.16,-7.17,44.6,93,100,8.05,overcast clouds,0,0
61,Kutum,SD,2020-01-05 20:43:55,14.2,24.66,55.96,26,0,6.17,clear sky,0,0
62,Mar Del Plata,AR,2020-01-05 20:43:55,-46.43,-67.52,69.57,33,100,6.33,overcast clouds,0,0
63,Palmer,AU,2020-01-05 20:43:55,-34.85,139.16,61.0,62,1,5.82,clear sky,0,0
64,Qaanaaq,GL,2020-01-05 20:43:55,77.48,-69.36,-25.65,47,0,4.12,clear sky,0,0
65,Liverpool,GB,2020-01-05 20:39:56,53.41,-2.98,48.2,87,40,8.05,scattered clouds,0,0
66,Kilindoni,TZ,2020-01-05 20:43:55,-7.91,39.67,82.26,76,23,8.59,few clouds,0,0
67,Belmonte,PT,2020-01-05 20:43:55,40.36,-7.35,43.0,10,0,2.13,clear sky,0,0
68,Bethel,US,2020-01-05 20:38:55,60.79,-161.76,-16.6,74,1,5.82,clear sky,0,0
69,Avarua,CK,2020-01-05 20:42:13,-21.21,-159.78,80.6,88,100,8.05,light rain,0,0
70,Goba,ET,2020-01-05 20:43:55,7.01,39.97,49.75,84,1,3.6,clear sky,0,0
71,Saint George,GR,2020-01-05 20:43:55,39.45,22.34,42.01,64,90,17.22,overcast clouds,0,0
72,Egvekinot,RU,2020-01-05 20:43:55,66.32,-179.17,-11.54,82,55,10.6,broken clouds,0,0
73,Tiksi,RU,2020-01-05 20:43:55,71.64,128.87,-14.8,86,0,11.92,clear sky,0,0
74,Namibe,AO,2020-01-05 20:43:56,-15.19,12.15,73.89,90,79,11.88,broken clouds,0,0
75,Hobart,AU,2020-01-05 20:43:13,-42.88,147.33,59.0,76,20,9.17,few clouds,0,0
76,Faanui,PF,2020-01-05 20:43:56,-16.48,-151.75,81.57,75,37,9.42,scattered clouds,0,0
77,Souillac,FR,2020-01-05 20:43:56,45.6,-0.6,41.0,80,0,6.93,clear sky,0,0
78,Dehloran,IR,2020-01-05 20:39:04,32.69,47.27,52.5,50,0,2.51,clear sky,0,0
79,Ostrovnoy,RU,2020-01-05 20:43:56,68.05,39.51,14.47,92,68,20.92,broken clouds,0,0
80,Mana,NG,2020-01-05 20:43:56,13.03,5.27,68.27,22,9,10.8,clear sky,0,0
81,Gat,SN,2020-01-05 20:43:56,14.69,-16.54,71.6,46,0,12.75,dust,0,0
82,Dikson,RU,2020-01-05 20:41:13,73.51,80.55,17.56,91,95,20.65,light snow,0,0
83,East London,ZA,2020-01-05 20:43:56,-33.02,27.91,73.44,75,90,4.63,overcast clouds,0,0
84,Vila Franca Do Campo,PT,2020-01-05 20:43:57,37.72,-25.43,64.4,93,40,17.22,scattered clouds,0,0
85,Honningsvag,NO,2020-01-05 20:43:57,70.98,25.97,31.93,66,100,12.21,overcast clouds,0,0
86,Srednekolymsk,RU,2020-01-05 20:43:57,67.46,153.71,-9.17,78,10,1.77,clear sky,0,0
87,Esperance,AU,2020-01-05 20:43:57,-33.86,121.89,64.4,59,33,19.46,scattered clouds,0,0
88,Bluff,AU,2020-01-05 20:40:55,-23.58,149.07,74.39,77,0,10.36,clear sky,0,0
89,Valparaiso,US,2020-01-05 20:39:48,41.47,-87.06,43.0,60,40,26.4,moderate rain,0,0
90,Tuktoyaktuk,CA,2020-01-05 20:43:57,69.44,-133.03,-23.8,74,90,10.29,overcast clouds,0,0
91,Taoudenni,ML,2020-01-05 20:43:57,22.68,-3.98,58.93,17,30,10.54,scattered clouds,0,0
92,Port Elizabeth,US,2020-01-05 20:42:18,39.31,-74.98,43.0,41,90,23.04,overcast clouds,0,0
93,Upernavik,GL,2020-01-05 20:43:57,72.79,-56.15,-29.87,88,100,11.86,overcast clouds,0,0
94,Poronaysk,RU,2020-01-05 20:43:57,49.22,143.1,11.8,75,0,13.51,clear sky,0,0
95,Samarai,PG,2020-01-05 20:43:58,-10.62,150.67,79.39,85,100,2.68,overcast clouds,0,0
96,Kavaratti,IN,2020-01-05 20:43:58,10.57,72.64,79.97,63,0,3.85,clear sky,0,0
97,Las Choapas,MX,2020-01-05 20:43:58,17.91,-94.09,73.4,73,90,9.17,overcast clouds,0,0
98,Chuy,UY,2020-01-05 20:42:28,-33.69,-53.46,75.31,63,0,13.76,clear sky,0,0
99,Evensk,RU,2020-01-05 20:43:58,61.92,159.24,-1.3,45,27,4.92,scattered clouds,0,0
100,Caravelas,BR,2020-01-05 20:42:34,-17.73,-39.27,79.48,84,94,8.79,overcast clouds,0,0
101,Buy,RU,2020-01-05 20:43:58,58.48,41.53,24.24,96,61,5.66,broken clouds,0,0
102,Dudinka,RU,2020-01-05 20:43:59,69.41,86.18,23.0,92,75,29.08,shower snow,0,0
103,Rio Gallegos,AR,2020-01-05 20:40:13,-51.62,-69.22,62.6,36,40,20.8,scattered clouds,0,0
104,Maloy,ID,2020-01-05 20:43:59,1.0,118.1,73.38,90,100,1.57,overcast clouds,0,0
105,Cancun,MX,2020-01-05 20:43:59,21.17,-86.85,77.0,61,75,10.29,broken clouds,0,0
106,Comodoro Rivadavia,AR,2020-01-05 20:43:59,-45.87,-67.48,73.4,27,40,12.75,scattered clouds,0,0
107,Hirara,JP,2020-01-05 20:39:05,24.8,125.28,69.44,72,17,17.43,few clouds,0,0
108,Khandyga,RU,2020-01-05 20:43:59,62.65,135.58,-6.75,98,100,3.65,light snow,0,0
109,Arraial Do Cabo,BR,2020-01-05 20:43:59,-22.97,-42.02,80.6,83,75,11.41,broken clouds,0,0
110,Avera,US,2020-01-05 20:44:00,33.19,-82.53,57.2,35,1,10.29,clear sky,0,0
111,Shu,KZ,2020-01-05 20:44:00,43.6,73.76,28.99,75,67,1.99,broken clouds,0,0
112,Bubaque,GW,2020-01-05 20:44:01,11.28,-15.83,77.5,57,5,18.01,clear sky,0,0
113,Pevek,RU,2020-01-05 20:44:01,69.7,170.27,-6.29,82,0,5.59,clear sky,0,0
114,Lagoa,PT,2020-01-05 20:39:57,37.14,-8.45,55.99,76,0,6.93,clear sky,0,0
115,Lagunillas,VE,2020-01-05 20:44:01,8.5,-71.39,66.99,86,56,3.24,light rain,0,0
116,Sitka,US,2020-01-05 20:44:01,37.17,-99.65,52.0,35,2,8.25,clear sky,0,0
117,Albany,US,2020-01-05 20:44:01,42.65,-73.75,34.0,50,40,19.46,scattered clouds,0,0
118,Tuatapere,NZ,2020-01-05 20:44:01,-46.13,167.69,51.01,81,100,24.0,light rain,0,0
119,San Patricio,PY,2020-01-05 20:44:01,-26.98,-56.83,93.25,32,24,2.8,few clouds,0,0
120,Davila,PH,2020-01-05 20:44:01,18.47,120.58,76.57,73,68,16.44,broken clouds,0,0
121,Marystown,CA,2020-01-05 20:44:03,47.17,-55.16,35.01,100,100,41.23,snow,0,0
122,Saldanha,PT,2020-01-05 20:44:03,41.42,-6.55,38.03,75,7,0.6,clear sky,0,0
123,Touros,BR,2020-01-05 20:44:03,-5.2,-35.46,84.2,66,40,17.22,scattered clouds,0,0
124,Bay Roberts,CA,2020-01-05 20:44:03,47.58,-53.28,30.99,92,90,21.92,snow,0,0
125,Hilo,US,2020-01-05 20:44:03,19.71,-155.08,78.8,65,90,4.7,moderate rain,0,0
126,Beloha,MG,2020-01-05 20:44:03,-25.17,45.06,73.9,79,0,14.29,clear sky,0,0
127,Walvis Bay,NA,2020-01-05 20:44:03,-22.95,14.51,63.0,82,19,4.7,few clouds,0,0
128,Saint-Augustin,CA,2020-01-05 20:44:03,45.63,-73.98,21.99,57,40,16.11,scattered clouds,0,0
129,Tasiilaq,GL,2020-01-05 20:44:03,65.61,-37.64,24.06,93,100,30.44,snow,0,0
130,Moussoro,TD,2020-01-05 20:44:03,13.64,16.49,66.49,23,0,14.43,clear sky,0,0
131,Puerto Ayora,EC,2020-01-05 20:44:04,-0.74,-90.35,84.2,66,20,12.75,few clouds,0,0
132,Cody,US,2020-01-05 20:44:04,44.53,-109.06,36.0,31,1,8.05,clear sky,0,0
133,Taos,US,2020-01-05 20:44:04,36.41,-105.57,44.01,32,1,11.41,clear sky,0,0
134,Sanandaj,IR,2020-01-05 20:44:04,35.31,47.0,21.69,88,6,3.4,clear sky,0,0
135,Mariental,BR,2020-01-05 20:44:04,-25.72,-49.65,75.99,69,75,10.29,broken clouds,0,0
136,Ust-Tsilma,RU,2020-01-05 20:44:04,65.44,52.15,11.37,92,82,8.01,broken clouds,0,0
137,Vardo,US,2020-01-05 20:44:04,39.62,-77.74,39.2,55,90,13.87,overcast clouds,0,0
138,Bonnyville,CA,2020-01-05 20:42:05,54.27,-110.74,17.6,72,20,6.26,few clouds,0,0
139,Carnarvon,ZA,2020-01-05 20:44:05,-30.97,22.13,66.76,29,24,10.56,few clouds,0,0
140,Anjozorobe,MG,2020-01-05 20:44:05,-18.4,47.88,66.2,88,75,4.7,broken clouds,0,0
141,Salalah,OM,2020-01-05 20:44:05,17.01,54.1,75.2,78,40,4.7,scattered clouds,0,0
142,Sinazongwe,ZM,2020-01-05 20:44:05,-17.26,27.46,78.6,73,100,2.8,overcast clouds,0,0
143,Victoria,BN,2020-01-05 20:44:05,5.28,115.24,80.6,74,75,6.93,broken clouds,0,0
144,Shimoda,JP,2020-01-05 20:44:05,34.7,138.93,30.99,81,100,15.12,light rain,0,0
145,Brasilia,BR,2020-01-05 20:42:31,-10.9,-37.55,82.4,74,20,14.99,few clouds,0,0
146,Mount Gambier,AU,2020-01-05 20:39:48,-37.83,140.78,46.4,93,9,4.7,clear sky,0,0
147,Upington,ZA,2020-01-05 20:44:06,-28.46,21.24,86.0,10,0,9.17,clear sky,0,0
148,Umm Lajj,SA,2020-01-05 20:44:06,25.02,37.27,54.1,61,0,5.91,clear sky,0,0
149,Raudeberg,NO,2020-01-05 20:44:06,61.99,5.14,46.99,100,75,16.11,drizzle rain,0,0
150,Asyut,EG,2020-01-05 20:44:06,27.18,31.19,46.17,51,0,8.01,clear sky,0,0
151,Lazaro Cardenas,MX,2020-01-05 20:44:06,28.39,-105.62,71.01,23,5,5.82,clear sky,0,0
152,Auki,NG,2020-01-05 20:44:06,12.18,6.51,68.32,27,64,12.48,broken clouds,0,0
153,Kieta,PG,2020-01-05 20:44:06,-6.22,155.63,82.26,72,5,3.89,clear sky,0,0
154,Te Anau,NZ,2020-01-05 20:44:06,-45.41,167.72,43.75,83,52,16.42,light rain,0,0
155,Isfana,KG,2020-01-05 20:44:06,39.84,69.53,35.6,65,75,2.24,mist,0,0
156,Tual,ID,2020-01-05 20:44:07,-5.67,132.75,83.28,77,51,11.81,light rain,0,0
157,Khatanga,RU,2020-01-05 20:44:07,71.98,102.47,-8.95,88,100,6.8,overcast clouds,0,0
158,Kandrian,PG,2020-01-05 20:44:07,-6.21,149.55,76.44,90,94,1.59,overcast clouds,0,0
159,Poum,MK,2020-01-05 20:44:07,41.28,20.71,30.2,50,75,14.99,broken clouds,0,0
160,Dingle,PH,2020-01-05 20:44:07,11.0,122.67,72.93,95,63,10.02,light rain,0,0
161,Klaksvik,FO,2020-01-05 20:44:07,62.23,-6.59,44.6,93,100,8.05,overcast clouds,0,0
162,Terney,RU,2020-01-05 20:44:07,45.05,136.61,6.85,80,0,9.98,clear sky,0,0
163,Torres,BR,2020-01-05 20:40:49,-29.34,-49.73,74.68,81,0,14.52,clear sky,0,0
164,Ocos,GT,2020-01-05 20:44:07,14.51,-92.19,89.6,59,40,9.17,scattered clouds,0,0
165,Lompoc,US,2020-01-05 20:44:08,34.64,-120.46,70.0,58,1,19.46,light rain,0,0
166,Coahuayana,MX,2020-01-05 20:44:08,18.62,-100.35,89.87,28,25,3.09,scattered clouds,0,0
167,Belz,UA,2020-01-05 20:44:08,50.38,24.01,30.2,80,90,11.18,overcast clouds,0,0
168,Erdenet,MN,2020-01-05 20:44:08,49.03,104.04,0.86,78,0,3.2,clear sky,0,0
169,Oranjemund,ZA,2020-01-05 20:44:08,-28.55,16.43,62.89,91,0,12.39,clear sky,0,0
170,Millbrook,US,2020-01-05 20:42:07,32.48,-86.36,59.0,50,1,6.93,clear sky,0,0
171,Santa Flavia,CL,2020-01-05 20:44:08,-51.55,-72.35,53.6,54,75,16.11,broken clouds,0,0
172,Pisco,PE,2020-01-05 20:40:42,-13.71,-76.2,73.0,30,69,21.92,broken clouds,0,0
173,Dulce Grande,MX,2020-01-05 20:44:09,23.0,-102.17,62.6,12,40,11.41,scattered clouds,0,0
174,Longyearbyen,NO,2020-01-05 20:42:54,78.22,15.63,-2.2,77,20,4.7,few clouds,0,0
175,Porto Novo,BR,2020-01-05 20:44:09,-23.68,-45.44,71.6,83,75,6.93,broken clouds,0,0
176,Aviles,ES,2020-01-05 20:44:09,43.55,-5.92,48.99,93,20,4.7,few clouds,0,0
177,Inta,RU,2020-01-05 20:44:09,66.04,60.13,12.4,92,38,17.02,scattered clouds,0,0
178,Karlskrona,SE,2020-01-05 20:44:09,56.16,15.59,39.2,100,100,10.29,light rain,0,0
179,Pacific Grove,US,2020-01-05 20:41:35,36.62,-121.92,59.0,50,1,8.05,clear sky,0,0
180,Krasnyy Yar,RU,2020-01-05 20:44:09,50.7,44.73,28.53,94,46,5.79,scattered clouds,0,0
181,Marquette,US,2020-01-05 20:44:10,46.54,-87.4,28.0,92,90,9.17,snow,0,0
